        609 function calls (598 primitive calls) in 2.823 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/asyncio/events.py:36(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/contextlib.py:299(helper)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/asyncio/base_events.py:724(is_closed)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/tornado/queues.py:256(get_nowait)
        2    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1285(__hash__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/asyncio/base_events.py:738(time)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.12/dis.py:671(findlinestarts)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/contextlib.py:104(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/asyncio/selector_events.py:750(_process_events)
        3    0.000    0.000    0.000    0.000 {built-in method posix.getppid}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/contextlib.py:132(__enter__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/ipykernel/iostream.py:165(_check_mp_mode)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/traitlets/traitlets.py:689(__get__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/contextlib.py:141(__exit__)
        2    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/tornado/queues.py:322(_consume_expired)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/IPython/core/hooks.py:103(__call__)
        2    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/tornado/queues.py:173(qsize)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/ipykernel/iostream.py:162(_is_master_process)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/threading.py:424(notify_all)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/asyncio/base_events.py:1907(_add_callback)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/tornado/queues.py:317(__put_internal)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/IPython/core/compilerop.py:166(extra_flags)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/queue.py:209(_qsize)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/threading.py:299(__enter__)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        8    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        6    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/traitlets/traitlets.py:651(get)
        3    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        2    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        2    0.000    0.000    0.000    0.000 {built-in method _contextvars.copy_context}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/threading.py:394(notify)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/IPython/utils/ipstruct.py:125(__getattr__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/IPython/core/interactiveshell.py:3449(compare)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/zmq/eventloop/zmqstream.py:529(receiving)
        2    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/threading.py:302(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method _asyncio.get_running_loop}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/asyncio/unix_events.py:81(_process_self_data)
        2    0.000    0.000    0.000    0.000 {method 'co_lines' of 'code' objects}
        3    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/selectors.py:275(_key_from_fd)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/IPython/core/interactiveshell.py:1302(user_global_ns)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/tornado/queues.py:312(_put)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/tornado/queues.py:177(empty)
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.12/asyncio/base_events.py:2017(get_debug)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/asyncio/base_events.py:543(_check_closed)
        1    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/tornado/queues.py:309(_get)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/ipykernel/iostream.py:198(closed)
        2    0.000    0.000    0.000    0.000 {method 'cancelled' of '_asyncio.Future' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/tornado/locks.py:224(clear)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/IPython/core/hooks.py:168(pre_run_code_hook)
        1    0.000    0.000    0.000    0.000 {method 'done' of '_asyncio.Future' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.12/dist-packages/tornado/queues.py:59(_set_timeout)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:2187(cast)
        1    0.000    0.000    0.000    0.000 {method '_is_owned' of '_thread.RLock' objects}
      1/0    0.000    0.000    0.000          /usr/local/lib/python3.12/dist-packages/IPython/core/interactiveshell.py:3512(run_code)


